"town";"year";"kod";"area";"pop";"type";"nuts3";"nuts4"
"Algy<c5>";2016;3424;75.77;5409;"nagyközség";"Csongrád";"Szegedi"
"Algy<c5>";2020;3424;75.77;5560;"nagyközség";"Csongrád";"Szegedi"
"Alibánfa";2017;264;5.84;433;"község";"Zala";"Zalaegerszegi"
"Alibánfa";2020;264;5.84;426;"község";"Zala";"Zalaegerszegi"
"Alibánfa";2019;264;5.84;434;"község";"Zala";"Zalaegerszegi"
"Alibánfa";2018;264;5.84;437;"község";"Zala";"Zalaegerszegi"
"Alibánfa";2021;264;5.84;431;"község";"Zala";"Zalaegerszegi"
"Alibánfa";2016;264;5.84;440;"község";"Zala";"Zalaegerszegi"
"Alibánfa";2015;264;5.84;427;"község";"Zala";"Zalaegerszegi"
"Alibánfa";2022;264;5.84;427;"község";"Zala";"Zalaegerszegi"
"Almamellék";2015;1332;44.33;436;"község";"Baranya";"Szigetvári"
"Almamellék";2018;1332;44.33;448;"község";"Baranya";"Szigetvári"
"Almamellék";2016;1332;44.33;445;"község";"Baranya";"Szigetvári"
"Almamellék";2019;1332;44.33;452;"község";"Baranya";"Szigetvári"
"Almamellék";2021;1332;44.33;447;"község";"Baranya";"Szigetvári"
"Almamellék";2022;1332;44.33;432;"község";"Baranya";"Szigetvári"
"Almamellék";2020;1332;44.33;459;"község";"Baranya";"Szigetvári"
"Almamellék";2017;1332;44.33;442;"község";"Baranya";"Szigetvári"
"Almásfüzitő";2017;3234;8.18;2111;"község";"Komárom-Esztergom";"Komáromi"
"Almásfüzitő";2016;3234;8.19;2124;"község";"Komárom-Esztergom";"Komáromi"
"Almásfüzitő";2022;3234;8.18;2081;"község";"Komárom-Esztergom";"Komáromi"
"Almásfüzitő";2021;3234;8.18;2077;"község";"Komárom-Esztergom";"Komáromi"
"Almásfüzitő";2020;3234;8.18;2071;"község";"Komárom-Esztergom";"Komáromi"
"Almásfüzitő";2018;3234;8.18;2131;"község";"Komárom-Esztergom";"Komáromi"
"Almásfüzitő";2019;3234;8.18;2097;"község";"Komárom-Esztergom";"Komáromi"
"Almásfüzitő";2015;3234;8.19;2107;"község";"Komárom-Esztergom";"Komáromi"
"Almásháza";2018;2338;4.98;82;"község";"Zala";"Zalaegerszegi"
"Almásháza";2020;2338;4.98;85;"község";"Zala";"Zalaegerszegi"
"Almásháza";2015;2338;4.98;81;"község";"Zala";"Zalaegerszegi"
"Almásháza";2016;2338;4.98;80;"község";"Zala";"Zalaegerszegi"
"Almásháza";2021;2338;4.98;88;"község";"Zala";"Zalaegerszegi"
"Almásháza";2019;2338;4.98;91;"község";"Zala";"Zalaegerszegi"
"Almásháza";2017;2338;4.98;82;"község";"Zala";"Zalaegerszegi"
"Almásháza";2022;2338;4.98;81;"község";"Zala";"Zalaegerszegi"
"Almáskamarás";2019;2959;14.71;870;"község";"Békés";"Mezőkovácsházai"
"Almáskamarás";2015;2959;14.71;934;"község";"Békés";"Mezőkovácsházai"
"Almáskamarás";2020;2959;14.71;862;"község";"Békés";"Mezőkovácsházai"
"Almáskamarás";2021;2959;14.71;848;"község";"Békés";"Mezőkovácsházai"
"Almáskamarás";2018;2959;14.71;870;"község";"Békés";"Mezőkovácsházai"
"Almáskamarás";2017;2959;14.71;883;"község";"Békés";"Mezőkovácsházai"
"Almáskamarás";2016;2959;14.71;902;"község";"Békés";"Mezőkovácsházai"
"Almáskamarás";2022;2959;14.71;822;"község";"Békés";"Mezőkovácsházai"
"Almáskeresztúr";2019;2037;13.03;83;"község";"Baranya";"Szigetvári"
"Almáskeresztúr";2015;2037;13.03;84;"község";"Baranya";"Szigetvári"
"Almáskeresztúr";2022;2037;13.03;84;"község";"Baranya";"Szigetvári"
"Almáskeresztúr";2021;2037;13.03;84;"község";"Baranya";"Szigetvári"
"Almáskeresztúr";2020;2037;13.03;86;"község";"Baranya";"Szigetvári"
"Almáskeresztúr";2018;2037;13.03;79;"község";"Baranya";"Szigetvári"
"Almáskeresztúr";2016;2037;13.03;87;"község";"Baranya";"Szigetvári"
"Almáskeresztúr";2017;2037;13.03;85;"község";"Baranya";"Szigetvári"
